Input,Output,Grid,Which,Index
4_1,8_6,"[[7, 2, 11, 40, 6, 3, 4, 19, 16, 15, 27, 55, 47, 20, 52, 34, 1, 54, 45, 49, 48, 29, 53, 35, 56, 50, 36, 28, 39, 44, 30, 43, 18, 22, 25, 26, 38, 13, 12, 41, 10, 14, 8, 33, 21, 23, 31, 24, 0, 17, 32, 37, 46, 51, 42, 5, 9, 57], [11, 34, 6, 30, 4, 42, 19, 16, 15, 2, 56, 9, 46, 27, 55, 29, 49, 48, 47, 50, 1, 45, 35, 38, 54, 44, 3, 13, 43, 52, 28, 41, 22, 26, 18, 10, 39, 25, 17, 40, 14, 8, 31, 36, 23, 20, 32, 21, 57, 24, 12, 33, 37, 0, 51, 7, 5, 53]]",r,29
4_1,8_7,"[[25, 39, 27, 32, 21, 23, 3, 2, 9, 0, 18, 15, 30, 40, 41, 17, 12, 11, 8, 16, 19, 6, 10, 13, 5, 14, 35, 29, 26, 38, 4, 22, 20, 28, 37, 31, 24, 7, 1, 33, 36, 34], [37, 0, 23, 27, 39, 25, 30, 32, 28, 33, 41, 21, 17, 2, 40, 15, 11, 7, 4, 3, 18, 16, 14, 10, 13, 6, 9, 12, 22, 34, 5, 29, 19, 26, 1, 20, 31, 8, 36, 24, 38, 35]]",c,9
4_1,8_10,"[[13, 47, 53, 36, 32, 33, 16, 12, 17, 48, 28, 26, 46, 7, 0, 18, 51, 19, 50, 38, 42, 39, 37, 25, 21, 20, 15, 27, 30, 29, 31, 23, 4, 2, 3, 22, 34, 43, 44, 10, 9, 8, 49, 5, 11, 14, 40, 6, 41, 35, 45, 52, 1, 24], [19, 45, 47, 48, 33, 13, 17, 0, 26, 7, 22, 28, 50, 14, 51, 12, 46, 18, 53, 29, 38, 24, 39, 37, 15, 21, 3, 32, 31, 30, 27, 20, 16, 4, 2, 36, 25, 42, 43, 41, 10, 9, 11, 1, 8, 49, 6, 5, 40, 34, 35, 44, 52, 23]]",c,12
4_1,8_11,"[[22, 8, 18, 15, 1, 6, 14, 31, 13, 17, 3, 47, 23, 7, 19, 21, 46, 35, 25, 16, 11, 2, 36, 10, 45, 20, 32, 9, 24, 40, 28, 34, 42, 38, 29, 43, 30, 33, 0, 27, 12, 41, 5, 26, 39, 37, 4, 44], [44, 12, 15, 14, 6, 10, 3, 32, 18, 31, 47, 5, 46, 13, 39, 19, 45, 25, 21, 11, 20, 9, 40, 16, 35, 36, 22, 24, 28, 34, 30, 42, 43, 0, 27, 38, 29, 37, 2, 26, 7, 1, 17, 33, 8, 23, 41, 4]]",r,1
4_1,8_15,"[[54, 4, 49, 7, 13, 41, 16, 18, 32, 38, 46, 29, 1, 12, 52, 17, 15, 14, 6, 11, 39, 30, 10, 9, 8, 44, 31, 43, 42, 28, 47, 35, 36, 37, 34, 33, 45, 56, 3, 2, 40, 5, 55, 25, 50, 53, 51, 23, 22, 24, 26, 21, 20, 19, 27, 48, 0], [49, 32, 48, 11, 7, 29, 18, 31, 38, 42, 17, 28, 0, 1, 6, 15, 13, 52, 8, 12, 37, 24, 39, 10, 9, 34, 30, 44, 43, 33, 45, 47, 35, 36, 46, 25, 40, 2, 5, 3, 41, 55, 53, 26, 54, 51, 50, 19, 23, 22, 16, 27, 21, 20, 4, 14, 56]]",r,10
4_1,3_1#4_1,"[[22, 23, 16, 5, 4, 49, 26, 19, 0, 46, 15, 2, 3, 37, 24, 34, 9, 35, 36, 44, 1, 33, 40, 42, 29, 41, 43, 39, 47, 25, 6, 20, 7, 13, 30, 8, 14, 28, 38, 45, 27, 21, 48, 32, 50, 10, 12, 11, 18, 17, 31], [19, 17, 12, 50, 0, 46, 4, 6, 3, 36, 37, 15, 13, 44, 26, 43, 1, 34, 35, 47, 2, 31, 39, 40, 33, 42, 41, 29, 5, 21, 20, 25, 32, 7, 27, 14, 9, 30, 45, 24, 8, 28, 49, 22, 48, 38, 11, 10, 16, 18, 23]]",r,16
4_1,8_2,"[[41, 25, 27, 38, 47, 30, 0, 33, 37, 55, 26, 21, 50, 20, 49, 23, 18, 52, 22, 7, 48, 6, 31, 53, 11, 10, 8, 12, 34, 28, 44, 39, 40, 2, 43, 36, 3, 16, 17, 13, 42, 15, 1, 54, 56, 5, 29, 9, 19, 51, 35, 4, 14, 24, 46, 45, 32], [29, 27, 34, 55, 45, 33, 47, 37, 26, 0, 36, 23, 49, 18, 48, 22, 6, 53, 20, 8, 31, 7, 30, 51, 12, 11, 10, 13, 52, 50, 40, 44, 41, 3, 39, 2, 4, 17, 21, 42, 43, 16, 15, 56, 32, 14, 38, 5, 25, 54, 24, 1, 19, 28, 9, 46, 35]]",r,12
4_1,8_17,"[[20, 24, 5, 7, 9, 26, 39, 37, 40, 44, 32, 31, 22, 29, 14, 34, 28, 35, 33, 42, 3, 36, 10, 18, 1, 19, 38, 0, 13, 41, 2, 11, 15, 12, 45, 23, 21, 6, 27, 25, 30, 43, 8, 4, 17, 16], [14, 13, 7, 9, 10, 20, 44, 40, 39, 38, 22, 28, 4, 32, 5, 37, 26, 34, 29, 25, 19, 42, 16, 12, 36, 18, 1, 35, 0, 45, 3, 41, 2, 11, 6, 24, 23, 21, 15, 30, 31, 33, 27, 8, 43, 17]]",r,5
5_1,0_1,"[[6, 8, 9, 3, 1, 13, 2, 19, 0, 21, 12, 16, 17, 4, 5, 11, 15, 14, 7, 18, 10, 20], [20, 10, 8, 18, 21, 19, 13, 6, 3, 16, 7, 17, 4, 5, 2, 14, 12, 15, 1, 9, 11, 0]]",r,3
5_1,5_1m,"[[17, 19, 7, 15, 0, 6, 11, 14, 4, 12, 20, 9, 13, 3, 1, 5, 8, 10, 2, 16, 18], [19, 18, 5, 8, 7, 0, 6, 4, 3, 14, 15, 13, 12, 2, 20, 1, 10, 17, 11, 9, 16]]",r,1
5_1,6_1m,"[[6, 8, 9, 3, 1, 13, 2, 19, 0, 21, 12, 16, 17, 4, 5, 11, 15, 14, 7, 18, 10, 20], [20, 10, 8, 18, 21, 19, 13, 6, 3, 16, 7, 17, 4, 5, 2, 14, 12, 15, 1, 9, 11, 0]]",r,0
5_1,7_2m,"[[6, 8, 9, 3, 1, 13, 2, 19, 0, 21, 12, 16, 17, 4, 5, 11, 15, 14, 7, 18, 10, 20], [20, 10, 8, 18, 21, 19, 13, 6, 3, 16, 7, 17, 4, 5, 2, 14, 12, 15, 1, 9, 11, 0]]",c,12
5_1,7_6,"[[11, 6, 13, 0, 12, 14, 9, 5, 7, 2, 3, 4, 8, 1, 16, 15, 10, 17], [4, 9, 14, 10, 8, 6, 1, 17, 5, 3, 13, 2, 7, 15, 12, 16, 11, 0]]",r,1
5_1,8_4m,"[[8, 9, 1, 0, 6, 5, 15, 3, 11, 4, 2, 10, 13, 17, 14, 7, 12, 16, 18], [0, 17, 15, 11, 7, 9, 10, 2, 5, 3, 6, 4, 18, 16, 12, 14, 8, 13, 1]]",r,13
5_1,8_5,"[[14, 11, 5, 4, 2, 9, 7, 12, 10, 8, 3, 6, 1, 13, 0], [12, 5, 2, 9, 4, 7, 8, 13, 3, 1, 14, 11, 10, 0, 6]]",r,6
5_1,8_20,"[[6, 8, 9, 3, 1, 13, 2, 19, 0, 21, 12, 16, 17, 4, 5, 11, 15, 14, 7, 18, 10, 20], [20, 10, 8, 18, 21, 19, 13, 6, 3, 16, 7, 17, 4, 5, 2, 14, 12, 15, 1, 9, 11, 0]]",r,14
5_1,8_20m,"[[16, 10, 14, 8, 5, 7, 11, 1, 15, 3, 18, 4, 0, 13, 6, 2, 9, 17, 12], [2, 8, 7, 3, 1, 0, 13, 15, 14, 16, 11, 6, 12, 9, 5, 18, 17, 4, 10]]",c,1
5_1,8_21m,"[[13, 10, 0, 4, 15, 5, 9, 3, 7, 14, 6, 16, 2, 8, 1, 12, 11], [12, 3, 2, 0, 11, 6, 4, 5, 1, 10, 15, 9, 14, 7, 16, 8, 13]]",r,8
5_1,3_1m#5_1,"[[4, 12, 7, 3, 5, 14, 2, 11, 19, 9, 10, 8, 1, 6, 20, 0, 21, 18, 17, 16, 15, 13], [7, 4, 2, 6, 21, 19, 3, 1, 18, 10, 11, 9, 5, 20, 0, 14, 16, 13, 12, 17, 8, 15]]",c,19
5_1,7_2,"[[16, 20, 8, 4, 44, 13, 19, 21, 39, 18, 23, 26, 41, 7, 37, 17, 11, 6, 15, 9, 40, 29, 28, 24, 27, 1, 22, 2, 3, 10, 12, 14, 0, 5, 43, 32, 42, 31, 25, 38, 33, 34, 36, 30, 35], [7, 22, 1, 8, 39, 4, 13, 44, 0, 6, 26, 41, 37, 18, 43, 21, 17, 25, 11, 29, 9, 24, 27, 28, 15, 5, 19, 14, 10, 12, 2, 42, 33, 3, 34, 23, 40, 20, 31, 36, 32, 30, 35, 38, 16]]",r,35
5_1,6_2,"[[24, 7, 27, 3, 4, 19, 0, 31, 34, 6, 38, 16, 36, 29, 1, 2, 17, 41, 32, 42, 30, 14, 22, 11, 18, 20, 21, 44, 12, 37, 8, 10, 33, 13, 15, 23, 43, 9, 35, 26, 25, 45, 40, 39, 28, 5], [27, 9, 16, 4, 40, 5, 6, 34, 0, 2, 30, 19, 38, 28, 29, 1, 36, 11, 42, 44, 32, 20, 31, 35, 12, 21, 22, 18, 8, 33, 15, 13, 10, 14, 23, 37, 41, 43, 25, 24, 17, 26, 39, 45, 3, 7]]",r,9
5_1,8_14m,"[[22, 34, 41, 1, 13, 5, 20, 11, 16, 18, 2, 3, 10, 6, 8, 4, 31, 7, 21, 44, 28, 0, 26, 36, 32, 9, 33, 17, 35, 12, 43, 27, 39, 15, 24, 30, 14, 40, 23, 25, 37, 19, 38, 42, 29], [2, 41, 27, 18, 40, 1, 8, 13, 0, 19, 37, 43, 11, 5, 7, 3, 22, 10, 20, 4, 31, 14, 23, 33, 28, 26, 32, 15, 29, 17, 12, 30, 36, 24, 16, 35, 9, 44, 42, 6, 38, 21, 34, 39, 25]]",c,11
5_1,4_1#4_1,"[[24, 7, 27, 3, 4, 19, 0, 31, 34, 6, 38, 16, 36, 29, 1, 2, 17, 41, 32, 42, 30, 14, 22, 11, 18, 20, 21, 44, 12, 37, 8, 10, 33, 13, 15, 23, 43, 9, 35, 26, 25, 45, 40, 39, 28, 5], [27, 9, 16, 4, 40, 5, 6, 34, 0, 2, 30, 19, 38, 28, 29, 1, 36, 11, 42, 44, 32, 20, 31, 35, 12, 21, 22, 18, 8, 33, 15, 13, 10, 14, 23, 37, 41, 43, 25, 24, 17, 26, 39, 45, 3, 7]]",r,10
5_1,3_1#5_1,"[[5, 25, 11, 28, 1, 6, 8, 13, 47, 45, 12, 41, 37, 35, 26, 40, 32, 39, 21, 31, 15, 24, 7, 38, 10, 9, 43, 14, 19, 46, 17, 16, 48, 20, 51, 22, 50, 4, 44, 23, 30, 3, 49, 0, 42, 2, 29, 27, 18, 34, 36, 33], [1, 28, 6, 11, 47, 3, 12, 20, 32, 24, 18, 40, 35, 36, 37, 45, 31, 41, 13, 17, 21, 9, 38, 46, 8, 10, 44, 7, 15, 48, 16, 14, 43, 42, 4, 23, 51, 22, 49, 30, 39, 0, 50, 2, 29, 5, 26, 19, 27, 33, 34, 25]]",r,45
5_1,3_1m#5_2m,"[[22, 9, 4, 39, 2, 35, 11, 34, 8, 13, 43, 3, 31, 48, 30, 46, 44, 49, 47, 26, 32, 50, 40, 0, 36, 28, 27, 45, 42, 25, 33, 19, 16, 14, 37, 24, 15, 23, 7, 29, 20, 10, 21, 5, 6, 18, 38, 17, 1, 41, 12], [29, 44, 35, 38, 4, 34, 2, 32, 3, 46, 41, 13, 18, 42, 31, 43, 40, 12, 49, 25, 28, 48, 47, 27, 26, 30, 36, 1, 45, 37, 9, 16, 24, 10, 33, 15, 50, 20, 8, 7, 21, 6, 19, 23, 5, 17, 11, 14, 0, 39, 22]]",r,0
5_2,0_1,"[[14, 4, 6, 11, 5, 15, 0, 7, 3, 2, 13, 16, 12, 9, 1, 10, 8, 17], [4, 5, 2, 10, 7, 17, 15, 0, 6, 16, 8, 13, 14, 1, 3, 12, 11, 9]]",r,11
5_2,6_1,"[[14, 4, 6, 11, 5, 15, 0, 7, 3, 2, 13, 16, 12, 9, 1, 10, 8, 17], [4, 5, 2, 10, 7, 17, 15, 0, 6, 16, 8, 13, 14, 1, 3, 12, 11, 9]]",r,14
5_2,6_2m,"[[14, 4, 6, 11, 5, 15, 0, 7, 3, 2, 13, 16, 12, 9, 1, 10, 8, 17], [4, 5, 2, 10, 7, 17, 15, 0, 6, 16, 8, 13, 14, 1, 3, 12, 11, 9]]",c,6
5_2,6_3,"[[14, 4, 6, 11, 5, 15, 0, 7, 3, 2, 13, 16, 12, 9, 1, 10, 8, 17], [4, 5, 2, 10, 7, 17, 15, 0, 6, 16, 8, 13, 14, 1, 3, 12, 11, 9]]",c,12
5_2,7_1m,"[[4, 9, 14, 8, 12, 15, 0, 11, 5, 7, 6, 2, 13, 1, 3, 10], [7, 13, 3, 11, 9, 0, 14, 6, 12, 1, 10, 8, 2, 5, 4, 15]]",c,2
5_2,7_5,"[[3, 5, 0, 10, 11, 8, 6, 7, 2, 1, 9, 4], [5, 10, 6, 1, 0, 7, 9, 11, 8, 4, 3, 2]]",r,4
5_2,7_5m,"[[11, 4, 18, 16, 1, 12, 15, 6, 5, 8, 3, 7, 2, 13, 17, 0, 10, 9, 14], [14, 16, 15, 18, 12, 13, 2, 1, 6, 9, 8, 10, 11, 3, 5, 4, 0, 7, 17]]",c,17
5_2,7_6m,"[[14, 17, 3, 2, 1, 15, 0, 4, 11, 13, 12, 8, 9, 6, 5, 7, 10, 20, 16, 19, 18], [3, 14, 5, 0, 20, 17, 7, 8, 13, 12, 2, 18, 4, 9, 11, 6, 15, 10, 1, 16, 19]]",r,15
5_2,8_6,"[[1, 11, 0, 10, 13, 2, 6, 14, 9, 7, 3, 5, 8, 12, 4], [0, 6, 9, 13, 14, 11, 4, 7, 5, 2, 8, 3, 12, 10, 1]]",c,3
5_2,8_9,"[[6, 10, 7, 11, 3, 18, 2, 15, 19, 12, 5, 4, 14, 9, 17, 0, 1, 16, 13, 8], [16, 5, 12, 10, 2, 3, 13, 9, 1, 19, 18, 6, 17, 11, 15, 4, 0, 14, 8, 7]]",r,3
5_2,8_14,"[[9, 15, 7, 5, 6, 10, 18, 3, 11, 8, 1, 2, 12, 4, 13, 17, 14, 0, 16], [10, 6, 5, 3, 16, 11, 8, 18, 4, 2, 0, 1, 7, 14, 12, 13, 17, 15, 9]]",c,17
5_2,8_19,"[[0, 1, 10, 9, 11, 6, 3, 12, 2, 15, 5, 14, 13, 8, 4, 7], [6, 14, 8, 10, 3, 1, 7, 13, 4, 9, 2, 5, 0, 11, 15, 12]]",r,6
5_2,8_21,"[[12, 1, 7, 0, 16, 14, 15, 8, 3, 9, 11, 5, 4, 6, 2, 13, 10], [1, 13, 16, 14, 9, 12, 2, 11, 0, 8, 6, 4, 3, 10, 7, 15, 5]]",r,8
5_2,3_1m#5_1m,"[[12, 11, 14, 13, 15, 1, 17, 4, 16, 8, 6, 5, 3, 2, 9, 7, 0, 10], [9, 13, 12, 16, 14, 17, 0, 7, 4, 1, 8, 6, 2, 5, 3, 15, 10, 11]]",r,4
5_2,3_1#5_2,"[[7, 5, 6, 4, 9, 2, 3, 8, 16, 12, 0, 15, 11, 1, 13, 10, 17, 14], [17, 8, 4, 5, 11, 1, 2, 16, 0, 10, 15, 9, 13, 12, 7, 14, 3, 6]]",r,3
5_2,3_1m#5_2,"[[14, 17, 3, 2, 1, 15, 0, 4, 11, 13, 12, 8, 9, 6, 5, 7, 10, 20, 16, 19, 18], [3, 14, 5, 0, 20, 17, 7, 8, 13, 12, 2, 18, 4, 9, 11, 6, 15, 10, 1, 16, 19]]",c,10
5_2,7_7,"[[10, 17, 14, 20, 18, 34, 33, 9, 6, 8, 13, 4, 3, 11, 0, 25, 41, 12, 22, 23, 7, 5, 28, 31, 15, 36, 35, 1, 2, 21, 24, 30, 39, 38, 26, 37, 19, 32, 29, 27, 16, 40], [40, 14, 20, 16, 17, 32, 38, 10, 33, 9, 19, 3, 11, 8, 41, 22, 1, 13, 15, 28, 5, 12, 25, 27, 4, 37, 36, 7, 0, 6, 31, 24, 2, 30, 29, 26, 23, 21, 34, 18, 39, 35]]",c,15
5_2,8_1m,"[[33, 25, 31, 0, 36, 37, 32, 30, 35, 29, 41, 17, 3, 26, 21, 24, 6, 20, 10, 18, 7, 13, 27, 23, 16, 22, 39, 38, 12, 1, 19, 11, 5, 2, 14, 8, 40, 34, 15, 28, 9, 4], [19, 4, 33, 16, 35, 1, 31, 32, 29, 10, 37, 8, 12, 28, 20, 25, 7, 22, 6, 21, 11, 3, 18, 24, 26, 23, 40, 39, 0, 27, 14, 13, 34, 41, 9, 5, 2, 38, 17, 30, 15, 36]]",c,3
5_2,8_2,"[[18, 45, 54, 35, 46, 50, 1, 11, 2, 17, 24, 30, 31, 42, 37, 36, 33, 23, 3, 32, 15, 22, 5, 40, 38, 14, 34, 44, 13, 9, 27, 61, 58, 41, 20, 0, 8, 10, 25, 12, 21, 47, 39, 48, 43, 60, 4, 55, 7, 6, 59, 56, 57, 52, 53, 62, 29, 28, 49, 16, 26, 19, 51], [19, 44, 46, 37, 50, 35, 31, 1, 18, 42, 30, 26, 24, 32, 36, 11, 43, 27, 7, 23, 22, 21, 9, 34, 39, 13, 38, 41, 15, 14, 25, 56, 61, 40, 58, 33, 12, 54, 20, 10, 8, 48, 55, 49, 4, 47, 5, 57, 6, 16, 62, 60, 59, 51, 52, 3, 28, 2, 53, 0, 29, 17, 45]]",r,22
5_2,8_5m,"[[53, 44, 46, 47, 42, 51, 48, 26, 45, 24, 49, 3, 0, 27, 50, 40, 41, 35, 12, 6, 34, 54, 19, 7, 8, 10, 32, 4, 2, 9, 5, 43, 17, 21, 11, 18, 14, 37, 15, 13, 22, 30, 28, 52, 39, 29, 1, 38, 23, 20, 25, 33, 31, 36, 16], [3, 42, 47, 53, 46, 49, 51, 27, 48, 26, 50, 0, 1, 16, 52, 12, 25, 34, 19, 8, 6, 5, 45, 30, 24, 7, 40, 54, 4, 2, 43, 37, 11, 29, 10, 17, 22, 41, 14, 15, 21, 28, 13, 44, 38, 39, 20, 35, 18, 23, 33, 31, 36, 32, 9]]",c,18
5_2,8_10,"[[19, 28, 33, 23, 40, 34, 31, 20, 16, 29, 41, 39, 8, 47, 4, 38, 26, 6, 15, 25, 12, 14, 13, 27, 37, 0, 22, 17, 44, 21, 43, 42, 45, 36, 32, 18, 5, 2, 7, 11, 46, 24, 3, 1, 48, 35, 10, 9, 30], [10, 23, 36, 20, 34, 33, 30, 16, 8, 41, 26, 47, 21, 0, 39, 37, 38, 12, 14, 35, 13, 17, 15, 22, 45, 44, 28, 31, 1, 25, 42, 27, 32, 5, 6, 11, 24, 4, 2, 7, 48, 18, 43, 46, 29, 40, 9, 3, 19]]",c,32
5_2,8_11m,"[[51, 49, 40, 15, 34, 8, 47, 31, 32, 26, 33, 11, 3, 6, 5, 54, 55, 4, 38, 36, 41, 14, 17, 53, 52, 42, 43, 22, 48, 2, 9, 19, 24, 25, 16, 21, 23, 46, 0, 35, 37, 20, 7, 13, 56, 1, 39, 57, 10, 12, 45, 29, 28, 30, 27, 44, 18, 50], [50, 40, 39, 26, 32, 12, 3, 7, 33, 56, 38, 51, 5, 34, 4, 48, 54, 6, 36, 17, 43, 10, 14, 55, 53, 41, 44, 20, 46, 9, 24, 22, 16, 23, 19, 47, 21, 42, 2, 37, 18, 27, 35, 15, 57, 0, 25, 1, 13, 11, 49, 31, 30, 29, 28, 45, 8, 52]]",r,43
5_2,8_15m,"[[3, 11, 28, 24, 21, 25, 20, 13, 32, 15, 1, 35, 31, 7, 34, 27, 30, 18, 4, 2, 22, 17, 16, 9, 12, 23, 14, 5, 19, 33, 8, 6, 0, 36, 10, 26, 29], [11, 1, 34, 25, 3, 27, 15, 32, 24, 13, 28, 31, 2, 20, 35, 36, 18, 22, 7, 14, 9, 4, 30, 19, 16, 17, 23, 12, 10, 6, 26, 0, 5, 29, 8, 21, 33]]",c,22
6_1,0_1,"[[6, 7, 23, 4, 25, 13, 55, 56, 0, 21, 15, 48, 8, 11, 20, 18, 3, 50, 51, 12, 14, 41, 1, 49, 2, 43, 36, 42, 46, 53, 29, 31, 26, 34, 35, 30, 38, 33, 27, 37, 39, 45, 40, 52, 16, 24, 32, 17, 22, 28, 44, 19, 47, 10, 54, 9, 5], [4, 53, 54, 43, 21, 6, 56, 0, 19, 20, 8, 25, 11, 14, 18, 15, 55, 51, 48, 3, 12, 13, 49, 50, 26, 31, 33, 38, 1, 46, 42, 34, 23, 36, 30, 37, 44, 35, 10, 39, 45, 40, 52, 28, 17, 27, 16, 22, 24, 32, 47, 29, 41, 5, 9, 7, 2]]",r,24
6_1,7_2,"[[6, 7, 23, 4, 25, 13, 55, 56, 0, 21, 15, 48, 8, 11, 20, 18, 3, 50, 51, 12, 14, 41, 1, 49, 2, 43, 36, 42, 46, 53, 29, 31, 26, 34, 35, 30, 38, 33, 27, 37, 39, 45, 40, 52, 16, 24, 32, 17, 22, 28, 44, 19, 47, 10, 54, 9, 5], [4, 53, 54, 43, 21, 6, 56, 0, 19, 20, 8, 25, 11, 14, 18, 15, 55, 51, 48, 3, 12, 13, 49, 50, 26, 31, 33, 38, 1, 46, 42, 34, 23, 36, 30, 37, 44, 35, 10, 39, 45, 40, 52, 28, 17, 27, 16, 22, 24, 32, 47, 29, 41, 5, 9, 7, 2]]",c,15
6_1,7_3,"[[24, 39, 34, 27, 20, 53, 42, 52, 49, 19, 50, 51, 15, 46, 31, 18, 56, 33, 17, 12, 43, 55, 22, 14, 48, 7, 16, 54, 2, 6, 3, 0, 5, 23, 57, 13, 4, 10, 11, 1, 47, 38, 40, 9, 28, 44, 35, 25, 21, 36, 45, 32, 26, 29, 30, 8, 41, 37], [19, 40, 37, 29, 24, 52, 38, 27, 42, 12, 51, 53, 18, 49, 46, 16, 1, 15, 22, 55, 28, 56, 20, 7, 43, 17, 14, 10, 54, 0, 4, 3, 6, 5, 47, 57, 2, 11, 13, 9, 41, 36, 8, 25, 44, 35, 21, 31, 23, 34, 48, 30, 32, 26, 33, 45, 50, 39]]",c,28
6_1,7_3m,"[[6, 7, 23, 4, 25, 13, 55, 56, 0, 21, 15, 48, 8, 11, 20, 18, 3, 50, 51, 12, 14, 41, 1, 49, 2, 43, 36, 42, 46, 53, 29, 31, 26, 34, 35, 30, 38, 33, 27, 37, 39, 45, 40, 52, 16, 24, 32, 17, 22, 28, 44, 19, 47, 10, 54, 9, 5], [4, 53, 54, 43, 21, 6, 56, 0, 19, 20, 8, 25, 11, 14, 18, 15, 55, 51, 48, 3, 12, 13, 49, 50, 26, 31, 33, 38, 1, 46, 42, 34, 23, 36, 30, 37, 44, 35, 10, 39, 45, 40, 52, 28, 17, 27, 16, 22, 24, 32, 47, 29, 41, 5, 9, 7, 2]]",r,0
6_1,7_6m,"[[6, 7, 23, 4, 25, 13, 55, 56, 0, 21, 15, 48, 8, 11, 20, 18, 3, 50, 51, 12, 14, 41, 1, 49, 2, 43, 36, 42, 46, 53, 29, 31, 26, 34, 35, 30, 38, 33, 27, 37, 39, 45, 40, 52, 16, 24, 32, 17, 22, 28, 44, 19, 47, 10, 54, 9, 5], [4, 53, 54, 43, 21, 6, 56, 0, 19, 20, 8, 25, 11, 14, 18, 15, 55, 51, 48, 3, 12, 13, 49, 50, 26, 31, 33, 38, 1, 46, 42, 34, 23, 36, 30, 37, 44, 35, 10, 39, 45, 40, 52, 28, 17, 27, 16, 22, 24, 32, 47, 29, 41, 5, 9, 7, 2]]",r,23
6_1,8_7,"[[24, 39, 34, 27, 20, 53, 42, 52, 49, 19, 50, 51, 15, 46, 31, 18, 56, 33, 17, 12, 43, 55, 22, 14, 48, 7, 16, 54, 2, 6, 3, 0, 5, 23, 57, 13, 4, 10, 11, 1, 47, 38, 40, 9, 28, 44, 35, 25, 21, 36, 45, 32, 26, 29, 30, 8, 41, 37], [19, 40, 37, 29, 24, 52, 38, 27, 42, 12, 51, 53, 18, 49, 46, 16, 1, 15, 22, 55, 28, 56, 20, 7, 43, 17, 14, 10, 54, 0, 4, 3, 6, 5, 47, 57, 2, 11, 13, 9, 41, 36, 8, 25, 44, 35, 21, 31, 23, 34, 48, 30, 32, 26, 33, 45, 50, 39]]",c,11
6_1,8_8m,"[[26, 21, 18, 24, 27, 17, 33, 10, 3, 1, 5, 43, 29, 32, 7, 0, 20, 11, 2, 42, 6, 8, 22, 35, 30, 34, 23, 12, 36, 38, 19, 40, 41, 28, 39, 31, 16, 37, 9, 25, 4, 13, 15, 14], [27, 19, 4, 20, 24, 7, 29, 5, 2, 33, 3, 1, 32, 25, 15, 10, 18, 42, 11, 6, 8, 36, 26, 34, 28, 30, 22, 23, 43, 35, 16, 38, 40, 31, 12, 37, 41, 39, 0, 17, 9, 21, 14, 13]]",r,38
6_1,8_10,"[[26, 21, 18, 24, 27, 17, 33, 10, 3, 1, 5, 43, 29, 32, 7, 0, 20, 11, 2, 42, 6, 8, 22, 35, 30, 34, 23, 12, 36, 38, 19, 40, 41, 28, 39, 31, 16, 37, 9, 25, 4, 13, 15, 14], [27, 19, 4, 20, 24, 7, 29, 5, 2, 33, 3, 1, 32, 25, 15, 10, 18, 42, 11, 6, 8, 36, 26, 34, 28, 30, 22, 23, 43, 35, 16, 38, 40, 31, 12, 37, 41, 39, 0, 17, 9, 21, 14, 13]]",r,4
6_1,8_11m,"[[25, 27, 29, 10, 15, 21, 18, 7, 26, 23, 19, 2, 35, 13, 1, 5, 14, 17, 20, 28, 30, 8, 37, 38, 4, 31, 32, 3, 34, 0, 24, 36, 33, 6, 22, 16, 12, 9, 11], [12, 16, 27, 29, 18, 23, 19, 10, 24, 26, 25, 1, 21, 8, 5, 13, 33, 36, 17, 30, 35, 38, 3, 37, 28, 32, 0, 4, 31, 2, 22, 34, 15, 11, 6, 20, 7, 14, 9]]",c,27
6_1,8_20,"[[18, 19, 29, 39, 54, 45, 32, 48, 11, 8, 5, 41, 43, 36, 37, 40, 25, 33, 34, 21, 12, 6, 15, 14, 22, 49, 46, 3, 27, 23, 1, 4, 10, 47, 9, 50, 57, 2, 38, 51, 42, 26, 52, 53, 28, 35, 31, 44, 7, 56, 55, 20, 0, 24, 13, 30, 17, 16], [19, 17, 39, 40, 2, 54, 33, 46, 24, 48, 43, 32, 41, 37, 45, 36, 15, 34, 11, 3, 21, 5, 14, 6, 25, 7, 9, 1, 26, 27, 23, 50, 22, 12, 10, 52, 51, 42, 57, 47, 38, 28, 53, 49, 35, 31, 13, 30, 8, 4, 44, 0, 56, 55, 16, 29, 20, 18]]",c,4
6_1,8_20m,"[[5, 7, 8, 45, 40, 10, 19, 15, 22, 24, 41, 21, 17, 44, 14, 9, 2, 0, 31, 3, 18, 6, 1, 20, 35, 39, 33, 13, 36, 16, 29, 37, 26, 4, 32, 25, 23, 42, 30, 34, 43, 11, 38, 27, 28, 12], [41, 5, 15, 42, 38, 19, 22, 17, 24, 21, 45, 18, 14, 8, 4, 16, 3, 26, 9, 31, 20, 7, 2, 23, 33, 37, 34, 12, 35, 13, 40, 36, 29, 6, 1, 27, 25, 32, 0, 44, 39, 10, 43, 28, 30, 11]]",r,20
6_1,8_14,"[[6, 3, 5, 1, 8, 15, 2, 11, 4, 0, 16, 14, 17, 9, 10, 12, 7, 13], [7, 1, 11, 4, 17, 6, 15, 8, 0, 10, 5, 16, 13, 14, 9, 2, 3, 12]]",c,0
6_1,3_1#3_1m,"[[13, 4, 14, 9, 3, 1, 6, 0, 8, 15, 7, 2, 5, 10, 11, 12], [1, 5, 13, 14, 11, 4, 0, 8, 15, 7, 10, 9, 12, 2, 6, 3]]",r,5
